Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Himachal Pradesh,,,,,
Arhar/Tur,,,,,
 1.BILASPUR, 1998-99,Kharif     ,4,1,0.25
, 1999-00,Kharif     ,1,0,0
, 2000-01,Kharif     ,3,1,0.33
, 2001-02,Kharif     ,11,3,0.27
, 2002-03,Kharif     ,17,4,0.24
, 2005-06,Kharif     ,4,2,0.5
, 2007-08,Kharif     ,2,1,0.5
, 2018-19,Kharif     ,3,1,0.33
, 2019-20,Kharif     ,4,4,1
 2.CHAMBA, 2006-07,Kharif     ,45,16,0.36
, 2018-19,Kharif     ,6,3,0.5
, 2019-20,Kharif     ,16,12,0.75
 3.KANGRA, 1999-00,Kharif     ,2,0,0
, 2000-01,Kharif     ,1,1,1
, 2001-02,Kharif     ,24,6,0.25
, 2007-08,Kharif     ,17,6,0.35
, 2008-09,Kharif     ,1,,0
, 2009-10,Kharif     ,1,,0
, 2010-11,Kharif     ,1,,0
, 2011-12,Kharif     ,1,,0
, 2012-13,Kharif     ,5,1,0.2
, 2013-14,Kharif     ,22,6,0.27
, 2014-15,Kharif     ,9,3,0.33
, 2015-16,Kharif     ,12,3,0.25
, 2016-17,Kharif     ,1,,0
, 2017-18,Kharif     ,12,5,0.42
, 2018-19,Kharif     ,19,10,0.53
, 2019-20,Kharif     ,28,17,0.61
 4.KULLU, 2000-01,Kharif     ,98,15,0.15
, 2001-02,Kharif     ,1370,312,0.23
, 2018-19,Kharif     ,4,2,0.5
, 2019-20,Kharif     ,11,6,0.55
 5.MANDI, 1999-00,Kharif     ,19,3,0.16
, 2000-01,Kharif     ,28,4,0.14
, 2001-02,Kharif     ,1,1,1
, 2005-06,Kharif     ,1,,0
 6.SHIMLA, 1998-99,Kharif     ,24,6,0.25
, 1999-00,Kharif     ,102,23,0.23
, 2000-01,Kharif     ,66,10,0.15
, 2001-02,Kharif     ,73,16,0.22
, 2002-03,Kharif     ,49,11,0.22
, 2005-06,Kharif     ,4,2,0.5
, 2006-07,Kharif     ,105,35,0.33
, 2007-08,Kharif     ,27,9,0.33
, 2008-09,Kharif     ,12,1,0.08
, 2009-10,Kharif     ,10,2,0.2
, 2010-11,Kharif     ,7,2,0.29
, 2011-12,Kharif     ,10,3,0.3
, 2012-13,Kharif     ,10,4,0.4
, 2013-14,Kharif     ,33,9,0.27
, 2014-15,Kharif     ,10,4,0.4
, 2015-16,Kharif     ,18,8,0.44
, 2016-17,Kharif     ,9,1,0.11
, 2017-18,Kharif     ,18,11,0.61
, 2018-19,Kharif     ,8,4,0.5
, 2019-20,Kharif     ,9,5,0.56
 7.SIRMAUR, 1998-99,Kharif     ,7,2,0.29
, 1999-00,Kharif     ,11,2,0.18
, 2005-06,Kharif     ,34,16,0.47
, 2007-08,Kharif     ,2,1,0.5
, 2008-09,Kharif     ,2,1,0.5
, 2009-10,Kharif     ,1,1,1
, 2010-11,Kharif     ,1,1,1
, 2011-12,Kharif     ,1,1,1
, 2012-13,Kharif     ,6,2,0.33
, 2013-14,Kharif     ,16,8,0.5
, 2014-15,Kharif     ,1,,0
, 2015-16,Kharif     ,15,4,0.27
, 2016-17,Kharif     ,1,1,1
, 2017-18,Kharif     ,15,7,0.47
, 2018-19,Kharif     ,9,5,0.56
, 2019-20,Kharif     ,9,6,0.67
 8.SOLAN, 1998-99,Kharif     ,93,21,0.23
, 1999-00,Kharif     ,20,5,0.25
, 2000-01,Kharif     ,66,11,0.17
, 2001-02,Kharif     ,1,1,1
, 2002-03,Kharif     ,7,2,0.29
, 2007-08,Kharif     ,1,,0
 9.UNA, 2000-01,Kharif     ,10,2,0.2
, 2002-03,Kharif     ,261,35,0.13
Total - Arhar/Tur,,,2998,750,0.25
Bajra,,,,,
 1.BILASPUR, 1998-99,Kharif     ,3,2,0.67
, 2001-02,Kharif     ,5,2,0.4
, 2006-07,Kharif     ,95,53,0.56
, 2012-13,Kharif     ,147,74,0.5
, 2018-19,Kharif     ,8,4,0.5
, 2019-20,Kharif     ,9,9,1
 2.CHAMBA, 2000-01,Kharif     ,4,2,0.5
, 2001-02,Kharif     ,1,1,1
, 2012-13,Kharif     ,109,51,0.47
 3.HAMIRPUR, 1998-99,Kharif     ,2,1,0.5
, 2000-01,Kharif     ,4,2,0.5
, 2001-02,Kharif     ,1,1,1
, 2002-03,Kharif     ,1,0,0
, 2004-05,Kharif     ,2,2,1
, 2008-09,Kharif     ,8,4,0.5
, 2009-10,Kharif     ,9,4,0.44
, 2010-11,Kharif     ,9,4,0.44
, 2011-12,Kharif     ,12,6,0.5
, 2012-13,Kharif     ,241,118,0.49
, 2013-14,Kharif     ,115,78,0.68
, 2014-15,Kharif     ,115,78,0.68
, 2015-16,Kharif     ,5,2,0.4
, 2016-17,Kharif     ,5,2,0.4
, 2017-18,Kharif     ,5,3,0.6
, 2018-19,Kharif     ,1,1,0.5
, 2019-20,Kharif     ,2,2,1
 4.KANGRA, 1998-99,Kharif     ,435,241,0.55
, 2000-01,Kharif     ,73,23,0.32
, 2001-02,Kharif     ,63,35,0.56
, 2002-03,Kharif     ,89,49,0.55
, 2003-04,Kharif     ,218,121,0.56
, 2004-05,Kharif     ,210,111,0.53
, 2005-06,Kharif     ,218,102,0.47
, 2006-07,Kharif     ,184,87,0.47
, 2008-09,Kharif     ,146,81,0.55
, 2009-10,Kharif     ,150,76,0.51
, 2010-11,Kharif     ,141,75,0.53
, 2011-12,Kharif     ,145,85,0.59
, 2012-13,Kharif     ,555,284,0.51
, 2013-14,Kharif     ,320,182,0.57
, 2014-15,Kharif     ,246,124,0.5
, 2015-16,Kharif     ,48,29,0.6
, 2016-17,Kharif     ,116,56,0.48
, 2017-18,Kharif     ,48,36,0.75
, 2018-19,Kharif     ,61,50,0.82
, 2019-20,Kharif     ,75,77,1.03
 5.MANDI, 1998-99,Kharif     ,16,9,0.56
, 2000-01,Kharif     ,23,8,0.35
, 2001-02,Kharif     ,11,4,0.36
, 2004-05,Kharif     ,34,18,0.53
, 2005-06,Kharif     ,44,19,0.43
, 2006-07,Kharif     ,61,34,0.56
, 2008-09,Kharif     ,43,24,0.56
, 2009-10,Kharif     ,51,24,0.47
, 2010-11,Kharif     ,45,26,0.58
, 2011-12,Kharif     ,56,26,0.46
, 2012-13,Kharif     ,268,139,0.52
, 2013-14,Kharif     ,134,67,0.5
, 2014-15,Kharif     ,134,67,0.5
, 2015-16,Kharif     ,23,13,0.57
, 2016-17,Kharif     ,33,17,0.52
, 2017-18,Kharif     ,23,17,0.74
, 2018-19,Kharif     ,15,7,0.47
, 2019-20,Kharif     ,18,18,1
 6.SHIMLA, 2000-01,Kharif     ,6,3,0.5
, 2001-02,Kharif     ,8,4,0.5
, 2002-03,Kharif     ,1,2,2
, 2003-04,Kharif     ,7,4,0.57
, 2004-05,Kharif     ,3,2,0.67
, 2005-06,Kharif     ,2,1,0.5
, 2006-07,Kharif     ,2,1,0.5
, 2008-09,Kharif     ,2,2,1
, 2009-10,Kharif     ,1,1,1
, 2010-11,Kharif     ,2,1,0.5
, 2011-12,Kharif     ,3,1,0.33
, 2012-13,Kharif     ,334,164,0.49
, 2013-14,Kharif     ,68,34,0.5
, 2014-15,Kharif     ,68,34,0.5
, 2015-16,Kharif     ,1,1,1
, 2016-17,Kharif     ,1,1,1
, 2017-18,Kharif     ,1,1,1
, 2018-19,Kharif     ,1,1,0.5
, 2019-20,Kharif     ,1,1,1
 7.SIRMAUR, 1998-99,Kharif     ,12,7,0.58
, 2000-01,Kharif     ,5,2,0.4
, 2001-02,Kharif     ,8,4,0.5
, 2002-03,Kharif     ,11,6,0.55
, 2003-04,Kharif     ,27,15,0.56
, 2004-05,Kharif     ,32,17,0.53
, 2005-06,Kharif     ,40,22,0.55
, 2006-07,Kharif     ,18,6,0.33
, 2008-09,Kharif     ,4,2,0.5
, 2009-10,Kharif     ,2,1,0.5
, 2010-11,Kharif     ,4,1,0.25
, 2011-12,Kharif     ,7,4,0.57
, 2012-13,Kharif     ,291,161,0.55
, 2013-14,Kharif     ,94,39,0.41
, 2014-15,Kharif     ,94,39,0.41
, 2015-16,Kharif     ,2,1,0.5
, 2016-17,Kharif     ,2,1,0.5
, 2017-18,Kharif     ,2,1,0.5
, 2018-19,Kharif     ,2,2,1
, 2019-20,Kharif     ,2,2,1
 8.SOLAN, 1998-99,Kharif     ,1,6,6
, 2000-01,Kharif     ,1,1,1
, 2001-02,Kharif     ,13,6,0.46
, 2003-04,Kharif     ,60,33,0.55
 9.UNA, 2012-13,Kharif     ,490,245,0.5
Total - Bajra,,,7227,3849,0.53
Cotton(lint),,,,Bales*,Bales/Hectare
 1.BILASPUR, 2001-02,Kharif     ,1,1,1
, 2002-03,Kharif     ,1,,0
, 2006-07,Kharif     ,2,1,0.5
 2.HAMIRPUR, 2002-03,Kharif     ,3,2,0.67
 3.KANGRA, 2001-02,Kharif     ,17,10,0.59
, 2002-03,Kharif     ,15,9,0.6
, 2005-06,Kharif     ,2,1,0.5
, 2006-07,Kharif     ,5,1,0.2
, 2007-08,Kharif     ,5,2,0.4
, 2008-09,Kharif     ,6,3,0.5
, 2009-10,Kharif     ,2,1,0.5
, 2010-11,Kharif     ,1,1,1
, 2011-12,Kharif     ,7,14,2
, 2012-13,Kharif     ,1,,0
, 2013-14,Kharif     ,1,1,0.5
, 2014-15,Kharif     ,4,2,0.39
, 2016-17,Kharif     ,3,1,0.33
, 2018-19,Kharif     ,25,9,0.36
, 2019-20,Kharif     ,15,7,0.47
 4.MANDI, 2001-02,Kharif     ,1,1,1
 5.SIRMAUR, 2006-07,Kharif     ,1,1,1
, 2007-08,Kharif     ,3,2,0.67
 6.SOLAN, 2001-02,Kharif     ,1,1,1
, 2002-03,Kharif     ,9,4,0.44
, 2005-06,Kharif     ,51,23,0.45
, 2006-07,Kharif     ,47,20,0.43
, 2007-08,Kharif     ,55,25,0.45
, 2008-09,Kharif     ,39,18,0.46
, 2009-10,Kharif     ,6,1,0.17
, 2010-11,Kharif     ,7,12,1.71
, 2011-12,Kharif     ,12,29,2.42
, 2012-13,Kharif     ,1,1,0.5
, 2013-14,Kharif     ,3,1,0.33
, 2016-17,Kharif     ,27,11,0.41
Total - Cotton(lint),,,379,215,0.57
Dry chillies,,,,,
 1.BILASPUR, 2005-06,Kharif     ,11,3,0.27
, 2006-07,Kharif     ,11,4,0.36
, 2007-08,Kharif     ,10,4,0.4
, 2008-09,Kharif     ,12,4,0.33
, 2009-10,Kharif     ,12,7,0.58
, 2011-12,Kharif     ,9,2,0.27
, 2012-13,Kharif     ,17,7,0.39
, 2014-15,Kharif     ,47,13,0.27
, 2015-16,Kharif     ,16,5,0.31
, 2016-17,Kharif     ,7,2,0.29
, 2018-19,Kharif     ,4,1,0.25
, 2019-20,Kharif     ,5,2,0.4
 2.CHAMBA, 2005-06,Kharif     ,49,4,0.08
, 2006-07,Kharif     ,48,13,0.27
, 2007-08,Kharif     ,45,19,0.42
, 2008-09,Kharif     ,18,5,0.28
, 2009-10,Kharif     ,44,25,0.57
, 2011-12,Kharif     ,55,15,0.27
, 2012-13,Kharif     ,31,8,0.27
, 2013-14,Kharif     ,37,10,0.27
, 2014-15,Kharif     ,37,10,0.27
, 2015-16,Kharif     ,45,13,0.29
, 2016-17,Kharif     ,10,3,0.3
, 2018-19,Kharif     ,45,15,0.33
, 2019-20,Kharif     ,48,21,0.44
 3.HAMIRPUR, 2006-07,Kharif     ,1,,0
, 2007-08,Kharif     ,3,1,0.33
, 2008-09,Kharif     ,1,,0
, 2009-10,Kharif     ,8,5,0.63
, 2011-12,Kharif     ,8,2,0.23
, 2012-13,Kharif     ,11,3,0.27
, 2013-14,Kharif     ,8,2,0.31
, 2014-15,Kharif     ,1,0,0.27
, 2015-16,Kharif     ,9,2,0.22
, 2016-17,Kharif     ,1,,0
, 2018-19,Kharif     ,9,2,0.22
, 2019-20,Kharif     ,10,5,0.5
 4.KANGRA, 2005-06,Kharif     ,12,2,0.17
, 2006-07,Kharif     ,17,6,0.35
, 2007-08,Kharif     ,14,6,0.43
, 2008-09,Kharif     ,17,6,0.35
, 2009-10,Kharif     ,6,4,0.67
, 2011-12,Kharif     ,2,1,0.27
, 2012-13,Kharif     ,3,1,0.27
, 2016-17,Kharif     ,13,3,0.23
, 2018-19,Kharif     ,3,1,0.33
, 2019-20,Kharif     ,6,3,0.5
 5.KULLU, 2005-06,Kharif     ,86,17,0.2
, 2006-07,Kharif     ,64,18,0.28
, 2007-08,Kharif     ,67,21,0.31
, 2008-09,Kharif     ,70,18,0.26
, 2009-10,Kharif     ,70,38,0.54
, 2011-12,Kharif     ,84,18,0.22
, 2012-13,Kharif     ,64,16,0.25
, 2015-16,Kharif     ,72,38,0.53
, 2016-17,Kharif     ,60,11,0.18
, 2018-19,Kharif     ,64,26,0.41
, 2019-20,Kharif     ,65,40,0.62
 6.LAHUL AND SPITI, 2018-19,Kharif     ,7,2,0.29
, 2019-20,Kharif     ,8,4,0.5
 7.MANDI, 2005-06,Kharif     ,122,22,0.18
, 2006-07,Kharif     ,147,36,0.24
, 2007-08,Kharif     ,134,33,0.25
, 2008-09,Kharif     ,193,48,0.25
, 2009-10,Kharif     ,91,48,0.53
, 2011-12,Kharif     ,135,27,0.2
, 2012-13,Kharif     ,126,25,0.2
, 2013-14,Kharif     ,57,11,0.2
, 2014-15,Kharif     ,79,16,0.2
, 2015-16,Kharif     ,92,23,0.25
, 2016-17,Kharif     ,112,36,0.32
 8.SHIMLA, 2005-06,Kharif     ,59,33,0.56
, 2006-07,Kharif     ,57,19,0.33
, 2007-08,Kharif     ,124,52,0.42
, 2008-09,Kharif     ,78,25,0.32
, 2009-10,Kharif     ,47,28,0.6
, 2011-12,Kharif     ,76,23,0.31
, 2012-13,Kharif     ,47,15,0.32
, 2014-15,Kharif     ,62,21,0.33
, 2015-16,Kharif     ,47,13,0.28
, 2016-17,Kharif     ,45,17,0.38
, 2018-19,Kharif     ,92,34,0.37
, 2019-20,Kharif     ,90,52,0.58
 9.SIRMAUR, 2005-06,Kharif     ,247,42,0.17
, 2006-07,Kharif     ,268,58,0.22
, 2007-08,Kharif     ,264,114,0.43
, 2008-09,Kharif     ,248,92,0.37
, 2009-10,Kharif     ,300,151,0.5
, 2011-12,Kharif     ,238,85,0.36
, 2012-13,Kharif     ,303,119,0.39
, 2013-14,Kharif     ,296,112,0.38
, 2014-15,Kharif     ,217,80,0.37
, 2015-16,Kharif     ,291,113,0.39
, 2016-17,Kharif     ,195,70,0.36
, 2018-19,Kharif     ,47,16,0.34
, 2019-20,Kharif     ,45,21,0.47
 10.SOLAN, 2005-06,Kharif     ,8,4,0.5
, 2006-07,Kharif     ,8,3,0.38
, 2007-08,Kharif     ,4,2,0.5
, 2008-09,Kharif     ,2,1,0.5
, 2009-10,Kharif     ,22,11,0.5
, 2011-12,Kharif     ,13,4,0.32
, 2012-13,Kharif     ,20,7,0.33
, 2013-14,Kharif     ,21,8,0.4
, 2014-15,Kharif     ,15,6,0.41
, 2015-16,Kharif     ,25,9,0.36
, 2016-17,Kharif     ,1,1,1
, 2018-19,Kharif     ,291,98,0.34
, 2019-20,Kharif     ,289,121,0.42
 11.UNA, 2005-06,Kharif     ,6,3,0.5
, 2006-07,Kharif     ,2,1,0.5
, 2007-08,Kharif     ,4,2,0.5
, 2008-09,Kharif     ,1,,0
, 2009-10,Kharif     ,3,1,0.33
, 2012-13,Kharif     ,8,4,0.53
, 2014-15,Kharif     ,8,5,0.56
, 2015-16,Kharif     ,2,1,0.5
, 2016-17,Kharif     ,1,,0
, 2018-19,Kharif     ,16,4,0.25
, 2019-20,Kharif     ,17,7,0.41
Total - Dry chillies,,,7475,2571,0.34
Garlic,,,,,
 1.SHIMLA, 2010-11,Kharif     ,3,4,1.33
Total - Garlic,,,3,4,1.33
Ginger,,,,,
 1.BILASPUR, 2001-02,Kharif     ,164,1573,9.59
, 2002-03,Kharif     ,84,486,5.79
, 2003-04,Kharif     ,110,689,6.26
, 2004-05,Kharif     ,117,980,8.38
, 2005-06,Kharif     ,131,1166,8.9
, 2006-07,Kharif     ,100,328,3.28
, 2007-08,Kharif     ,103,1012,9.83
, 2009-10,Kharif     ,120,445,3.71
, 2011-12,Kharif     ,99,309,3.13
, 2012-13,Kharif     ,167,1271,7.61
, 2014-15,Kharif     ,132,1004,7.61
, 2015-16,Kharif     ,116,883,7.61
, 2018-19,Kharif     ,90,333,3.7
, 2019-20,Kharif     ,90,361,4.01
 2.CHAMBA, 2001-02,Kharif     ,3,33,11
, 2002-03,Kharif     ,2,14,7
, 2003-04,Kharif     ,1,7,7
, 2004-05,Kharif     ,1,7,7
, 2005-06,Kharif     ,1,7,7
, 2006-07,Kharif     ,3,5,1.67
, 2007-08,Kharif     ,4,32,8
, 2009-10,Kharif     ,5,17,3.4
, 2011-12,Kharif     ,2,5,2.29
, 2012-13,Kharif     ,4,28,7.01
, 2014-15,Kharif     ,2,14,7.01
, 2015-16,Kharif     ,4,28,7.01
, 2018-19,Kharif     ,4,13,3.25
, 2019-20,Kharif     ,4,15,3.75
 3.HAMIRPUR, 2001-02,Kharif     ,7,78,11.14
, 2002-03,Kharif     ,8,56,7
, 2005-06,Kharif     ,2,15,7.5
, 2006-07,Kharif     ,10,16,1.6
, 2007-08,Kharif     ,3,34,11.33
, 2009-10,Kharif     ,7,28,4
, 2011-12,Kharif     ,9,11,1.24
, 2012-13,Kharif     ,4,28,7.01
, 2014-15,Kharif     ,72,505,7.01
, 2015-16,Kharif     ,8,56,7.01
, 2018-19,Kharif     ,8,32,4
, 2019-20,Kharif     ,8,30,3.75
 4.KANGRA, 2001-02,Kharif     ,18,200,11.11
, 2002-03,Kharif     ,23,160,6.96
, 2003-04,Kharif     ,30,215,7.17
, 2004-05,Kharif     ,28,200,7.14
, 2005-06,Kharif     ,28,208,7.43
, 2006-07,Kharif     ,25,45,1.8
, 2007-08,Kharif     ,16,180,11.25
, 2009-10,Kharif     ,20,85,4.25
, 2011-12,Kharif     ,28,59,2.11
, 2012-13,Kharif     ,27,189,7.01
, 2014-15,Kharif     ,38,266,7.01
, 2015-16,Kharif     ,21,147,7.01
, 2018-19,Kharif     ,21,89,4.24
, 2019-20,Kharif     ,21,86,4.1
 5.KULLU, 2009-10,Kharif     ,2,7,3.5
, 2014-15,Kharif     ,1,,0
, 2015-16,Kharif     ,1,2,2.29
, 2018-19,Kharif     ,1,4,4
, 2019-20,Kharif     ,84,336,4
 6.LAHUL AND SPITI, 2018-19,Kharif     ,2,5,2.5
 7.MANDI, 2001-02,Kharif     ,78,867,11.12
, 2002-03,Kharif     ,89,618,6.94
, 2003-04,Kharif     ,83,595,7.17
, 2004-05,Kharif     ,86,613,7.13
, 2005-06,Kharif     ,80,595,7.44
, 2006-07,Kharif     ,118,78,0.66
, 2007-08,Kharif     ,33,371,11.24
, 2009-10,Kharif     ,105,425,4.05
, 2011-12,Kharif     ,113,26,0.23
, 2012-13,Kharif     ,115,806,7.01
, 2014-15,Kharif     ,96,673,7.01
, 2015-16,Kharif     ,100,701,7.01
 8.SHIMLA, 2001-02,Kharif     ,267,2976,11.15
, 2002-03,Kharif     ,270,1267,4.69
, 2003-04,Kharif     ,187,882,4.72
, 2004-05,Kharif     ,209,1531,7.33
, 2005-06,Kharif     ,187,1122,6
, 2006-07,Kharif     ,202,508,2.51
, 2007-08,Kharif     ,214,1729,8.08
, 2009-10,Kharif     ,63,182,2.89
, 2011-12,Kharif     ,203,509,2.51
, 2012-13,Kharif     ,214,2118,9.9
, 2014-15,Kharif     ,99,980,9.9
, 2015-16,Kharif     ,57,564,9.9
, 2018-19,Kharif     ,100,289,2.89
, 2019-20,Kharif     ,65,188,2.89
 9.SIRMAUR, 2001-02,Kharif     ,1458,16442,11.28
, 2002-03,Kharif     ,1446,10067,6.96
, 2003-04,Kharif     ,1187,9170,7.73
, 2004-05,Kharif     ,1194,8469,7.09
, 2005-06,Kharif     ,1349,10197,7.56
, 2006-07,Kharif     ,1511,2708,1.79
, 2007-08,Kharif     ,1494,19131,12.81
, 2009-10,Kharif     ,1855,9158,4.94
, 2011-12,Kharif     ,1293,2374,1.84
, 2012-13,Kharif     ,1513,9894,6.54
, 2014-15,Kharif     ,1434,9377,6.54
, 2015-16,Kharif     ,1687,11031,6.54
, 2018-19,Kharif     ,57,281,4.93
, 2019-20,Kharif     ,1782,8803,4.94
 10.SOLAN, 2001-02,Kharif     ,612,6821,11.15
, 2002-03,Kharif     ,532,4376,8.23
, 2003-04,Kharif     ,444,3086,6.95
, 2004-05,Kharif     ,408,2767,6.78
, 2005-06,Kharif     ,398,2881,7.24
, 2006-07,Kharif     ,401,450,1.12
, 2007-08,Kharif     ,403,3015,7.48
, 2009-10,Kharif     ,308,1259,4.09
, 2011-12,Kharif     ,356,443,1.25
, 2012-13,Kharif     ,361,2531,7.01
, 2014-15,Kharif     ,268,1879,7.01
, 2015-16,Kharif     ,280,1963,7.01
, 2018-19,Kharif     ,1687,6882,4.08
, 2019-20,Kharif     ,206,840,4.08
 11.UNA, 2001-02,Kharif     ,2,22,11
, 2002-03,Kharif     ,1,7,7
, 2003-04,Kharif     ,2,14,7
, 2005-06,Kharif     ,3,22,7.33
, 2006-07,Kharif     ,26,56,2.15
, 2007-08,Kharif     ,3,34,11.33
, 2009-10,Kharif     ,3,12,4
, 2012-13,Kharif     ,1,7,7.01
, 2014-15,Kharif     ,2,14,7.01
, 2015-16,Kharif     ,2,14,7.01
, 2018-19,Kharif     ,253,1012,4
, 2019-20,Kharif     ,4,16,4
Total - Ginger,,,31903,203177,6.37
Groundnut,,,,,
 1.BILASPUR, 1998-99,Kharif     ,3,1,0.33
, 2001-02,Kharif     ,16,5,0.31
, 2002-03,Kharif     ,2,1,0.5
, 2018-19,Kharif     ,1,1,1
, 2019-20,Kharif     ,2,2,1
 2.CHAMBA, 2007-08,Kharif     ,2,2,1
 3.KULLU, 1998-99,Kharif     ,1,1,1
, 1999-00,Kharif     ,10,5,0.5
, 2000-01,Kharif     ,2,1,0.5
, 2001-02,Kharif     ,29,9,0.31
, 2002-03,Kharif     ,6,1,0.17
, 2005-06,Kharif     ,12,3,0.25
, 2006-07,Kharif     ,42,26,0.62
, 2007-08,Kharif     ,42,32,0.76
, 2008-09,Kharif     ,42,27,0.64
, 2009-10,Kharif     ,50,35,0.7
, 2010-11,Kharif     ,27,23,0.85
, 2011-12,Kharif     ,54,51,0.94
, 2012-13,Kharif     ,9,8,0.89
, 2013-14,Kharif     ,23,15,0.65
, 2014-15,Kharif     ,23,14,0.61
, 2015-16,Kharif     ,15,17,1.13
, 2016-17,Kharif     ,22,20,0.91
, 2017-18,Kharif     ,15,19,1.27
, 2018-19,Kharif     ,21,25,1.19
, 2019-20,Kharif     ,21,28,1.33
 4.MANDI, 1998-99,Kharif     ,12,6,0.5
, 1999-00,Kharif     ,11,5,0.45
, 2000-01,Kharif     ,6,0,0.02
, 2001-02,Kharif     ,8,2,0.25
, 2002-03,Kharif     ,1,0,0
, 2008-09,Kharif     ,2,2,1
, 2009-10,Kharif     ,65,42,0.65
, 2010-11,Kharif     ,2,1,0.5
, 2011-12,Kharif     ,4,3,0.75
, 2012-13,Kharif     ,1,1,1
, 2013-14,Kharif     ,1,1,1
, 2014-15,Kharif     ,1,1,1
, 2015-16,Kharif     ,1,1,1
, 2016-17,Kharif     ,1,1,1
, 2017-18,Kharif     ,2,2,0.75
 5.SHIMLA, 1998-99,Kharif     ,15,7,0.47
, 1999-00,Kharif     ,1,0,0
, 2000-01,Kharif     ,6,0,0.02
, 2001-02,Kharif     ,4,2,0.5
, 2002-03,Kharif     ,12,3,0.25
, 2005-06,Kharif     ,8,4,0.5
, 2006-07,Kharif     ,8,8,1
, 2007-08,Kharif     ,2,2,1
, 2008-09,Kharif     ,8,8,1
, 2009-10,Kharif     ,45,30,0.67
, 2010-11,Kharif     ,11,5,0.45
, 2011-12,Kharif     ,17,15,0.88
, 2012-13,Kharif     ,5,4,0.8
, 2013-14,Kharif     ,7,4,0.57
, 2014-15,Kharif     ,7,4,0.57
, 2015-16,Kharif     ,7,4,0.57
, 2016-17,Kharif     ,7,4,0.57
, 2017-18,Kharif     ,7,5,0.76
, 2018-19,Kharif     ,6,4,0.67
, 2019-20,Kharif     ,7,7,1
 6.SIRMAUR, 1998-99,Kharif     ,57,24,0.42
, 1999-00,Kharif     ,47,17,0.36
, 2000-01,Kharif     ,34,0,0
, 2001-02,Kharif     ,40,17,0.43
, 2002-03,Kharif     ,27,3,0.11
, 2005-06,Kharif     ,35,16,0.46
, 2006-07,Kharif     ,50,40,0.8
, 2007-08,Kharif     ,36,37,1.03
, 2008-09,Kharif     ,29,29,1
, 2009-10,Kharif     ,35,22,0.63
, 2010-11,Kharif     ,22,17,0.77
, 2011-12,Kharif     ,39,37,0.95
, 2012-13,Kharif     ,7,6,0.86
, 2013-14,Kharif     ,18,11,0.61
, 2014-15,Kharif     ,13,9,0.69
, 2015-16,Kharif     ,12,11,0.92
, 2016-17,Kharif     ,18,14,0.78
, 2017-18,Kharif     ,12,11,0.93
, 2018-19,Kharif     ,14,13,0.93
, 2019-20,Kharif     ,14,14,1
 7.SOLAN, 1998-99,Kharif     ,191,244,1.28
, 1999-00,Kharif     ,100,114,1.14
, 2000-01,Kharif     ,88,80,0.91
, 2001-02,Kharif     ,32,40,1.25
, 2002-03,Kharif     ,144,78,0.54
, 2005-06,Kharif     ,8,11,1.38
, 2006-07,Kharif     ,5,6,1.2
, 2007-08,Kharif     ,15,21,1.4
 8.UNA, 1998-99,Kharif     ,3,3,1
, 1999-00,Kharif     ,10,9,0.9
, 2000-01,Kharif     ,1,1,1
, 2002-03,Kharif     ,2,2,1
Total - Groundnut,,,1958,1517,0.77
Horse-gram,,,,,
 1.BILASPUR, 1998-99,Kharif     ,40,23,0.58
, 1999-00,Kharif     ,28,17,0.61
, 2000-01,Kharif     ,31,10,0.32
, 2001-02,Kharif     ,31,16,0.52
, 2002-03,Kharif     ,32,9,0.28
, 2005-06,Kharif     ,49,27,0.55
, 2006-07,Kharif     ,11,7,0.64
, 2007-08,Kharif     ,22,14,0.64
, 2008-09,Kharif     ,18,6,0.33
, 2009-10,Kharif     ,13,3,0.23
, 2010-11,Kharif     ,12,3,0.25
, 2011-12,Kharif     ,12,9,0.75
, 2012-13,Kharif     ,7,4,0.57
, 2013-14,Kharif     ,12,3,0.25
, 2014-15,Kharif     ,11,3,0.27
, 2015-16,Kharif     ,11,5,0.45
, 2016-17,Kharif     ,11,3,0.27
, 2017-18,Kharif     ,11,6,0.55
, 2018-19,Kharif     ,11,6,0.55
, 2019-20,Kharif     ,13,8,0.62
 2.CHAMBA, 1998-99,Kharif     ,333,141,0.42
, 2000-01,Kharif     ,349,89,0.26
, 2001-02,Kharif     ,281,119,0.42
, 2002-03,Kharif     ,321,92,0.29
, 2005-06,Kharif     ,314,70,0.22
, 2006-07,Kharif     ,362,125,0.35
, 2007-08,Kharif     ,318,110,0.35
, 2008-09,Kharif     ,336,92,0.27
, 2009-10,Kharif     ,328,75,0.23
, 2010-11,Kharif     ,295,165,0.56
, 2011-12,Kharif     ,294,179,0.61
, 2012-13,Kharif     ,173,94,0.54
, 2013-14,Kharif     ,286,77,0.27
, 2014-15,Kharif     ,283,76,0.27
, 2015-16,Kharif     ,280,115,0.41
, 2016-17,Kharif     ,277,74,0.27
, 2017-18,Kharif     ,280,128,0.46
, 2018-19,Kharif     ,265,121,0.46
, 2019-20,Kharif     ,278,183,0.66
 3.HAMIRPUR, 1998-99,Kharif     ,109,51,0.47
, 1999-00,Kharif     ,81,42,0.52
, 2000-01,Kharif     ,47,17,0.36
, 2001-02,Kharif     ,35,16,0.46
