State,District,Crop,Year,Season,Area,Production,Yield
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2016-17,Kharif     ,1,1,1
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2017-18,Kharif     ,15,7,0.47
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2018-19,Kharif     ,9,5,0.56
Himachal Pradesh,SIRMAUR,Arhar/Tur, 2019-20,Kharif     ,9,6,0.67
Himachal Pradesh,SOLAN,Arhar/Tur, 1998-99,Kharif     ,93,21,0.23
Himachal Pradesh,SOLAN,Arhar/Tur, 1999-00,Kharif     ,20,5,0.25
Himachal Pradesh,SOLAN,Arhar/Tur, 2000-01,Kharif     ,66,11,0.17
Himachal Pradesh,SOLAN,Arhar/Tur, 2001-02,Kharif     ,1,1,1
Himachal Pradesh,SOLAN,Arhar/Tur, 2002-03,Kharif     ,7,2,0.29
Himachal Pradesh,SOLAN,Arhar/Tur, 2007-08,Kharif     ,1,,0
Himachal Pradesh,UNA,Arhar/Tur, 2000-01,Kharif     ,10,2,0.2
Himachal Pradesh,UNA,Arhar/Tur, 2002-03,Kharif     ,261,35,0.13
